"Nombre","Tipo.de.centro","Dirección","Horario","Días","Tipo","Entidades.que.apoya","Entidad"
"Instituto Nacional de Perinatología","Académico","Calle Montes Urales 800, Miguel Hidalgo, Lomas Virreyes, 11000 Ciudad de México, CDMX","","","Alimentos y agua, Higiene personal, Limpieza del hogar, Primeros auxilios, Alimento para mascotas","Juchitán","CDMX"
"Locatel","Gobierno","Heroes del 47 No. 113, San Mateo Churubusco, 04120 Coyoacán, CDMX","9:00 - 18:00","Lunes a domingo","Alimentos y agua, Higiene personal, Limpieza del hogar","Oaxaca, Chiapas","CDMX"
"Restaurante Comixcal","Ciudadano","Dr. Atl 176, Sta María la Ribera, 06400 Ciudad de México, CDMX","14:30 - 22:00","","Alimentos y agua, Higiene personal, Limpieza del hogar, Ropa","Juchitán","CDMX"
"PRI Nacional","Ciudadano","Avenida Insurgentes Norte 59, Buenavista, 06359 Cuauhtémoc, CDMX, Mexico","","","Alimentos, Higiene Personal, Limpieza del Hogar","12 entidades federativas afectadas","CDMX"
"Instancia Coordinadora Nacional de la Sección XXII de Oaxaca","Ciudadano","Av. Coyoacán 939, Col del Valle Centro, 03100 Ciudad de México, CDMX","","","Medicamentos, Material de de curación","Istmo","CDMX"
"Centro Cultural Macario Matus","Ciudadano","Almacenes 74, Cuauhtémoc, 06900 Ciudad de México, CDMX","","","Alimentos y agua, Higiene personal, Limpieza del hogar","Juchitán","CDMX"
"Zócalo","Gobierno","Plaza de la Constitución S/N, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX, Mexico","9:00 - 18:00","Lunes a Domingo","Artículos de primera necesidad, Higiene personal, Limpieza del hogar","Oaxaca, Chiapas","CDMX"
"Sandoval Contadores Públicos","Ciudadano","Lago Wetter 134, Cuauhtémoc Pensil, 11490 Ciudad de México, CDMX","","","","Istmo","CDMX"
"ENAH","Académico","Periférico Sur y Zapote s/n. Colonia Isidro Fabela, Tlalpan, Isidro Fabela, 14030 Ciudad de México, CDMX","7:00 - 15:00","","","Pueblos huaves, Juchitán","CDMX"
"UNAM - Estadio Olímpico Universtario","Académico","Universidad Nacional Autonoma de Mexico C.U., Av de los Insurgentes Sur S/N, Cd. Universitaria, 04510 Ciudad de México, CDMX, Mexico","9:00 - 17:00","Sábado","Alimentos, Productos de Higiene Personal, Limpieza del hogar","","CDMX"
"DIF Nacional","Gobierno","Gral. Emiliano Zapata 340, Sta Cruz Atoyac, 03310 Ciudad de México, CDMX","","","Alimentos y agua, Higiene personal, Limpieza del hogar, Primeros auxilios, Medicamentos, Alimentos para bebé","Oaxaca, Chiapas","CDMX"
"DIF - Almacenes Generales","Gobierno","Av. México Coyoacán 278, Sta Cruz Atoyac, 03310 Ciudad de México, CDMX","","","Alimentos y agua, Higiene personal, Limpieza del hogar, Primeros auxilios, Medicamentos, Alimentos para bebé","Oaxaca, Chiapas","CDMX"
"DIF - Casa Hogar para Niñas Graciela Zubirán","Gobierno","Avenida de los Insurgentes Sur 3700B, Insurgentes Cuicuilco, 04530 Ciudad de México, CDMX","","","Alimentos y agua, Higiene personal, Limpieza del hogar, Primeros auxilios, Medicamentos, Alimentos para bebé","Oaxaca, Chiapas","CDMX"
"DIF - Dirección General de Integración Social","Gobierno","Av. Insurgentes Sur 3700B, Insurgentes Cuicuilco, 04530 Ciudad de México, CDMX","","","Alimentos y agua, Higiene personal, Limpieza del hogar, Primeros auxilios, Medicamentos, Alimentos para bebé","Oaxaca, Chiapas","CDMX"
"Seminario de Cultura Mexicana","Ciudadano","Av. Pdte. Masaryk 526, Polanco, Polanco II Secc, 11550 Ciudad de México, CDMX","9:00 - 19:00","","Alimentos y agua, Higiene personal, Limpieza del hogar, Otros","Oaxaca, Chiapas","CDMX"
"Representación de Oaxaca en la CDMX","Gobierno","Shakespeare 68, Anzures, 11590 Ciudad de México, CDMX
","","","Alimentos y agua, Higiene personal, Limpieza del hogar, Otros","Oaxaca","CDMX"
"PALECH, Pacto de América Latina por la Educación con Calidad Humana","Ciudadano","Guanabana 201 Int. C, Nueva Santa María, 02800 Ciudad de México, CDMX","","","Alimentos y agua, Higiene personal, Limpieza del hogar, Primeros auxilios, Medicamentos, Alimentos para bebé","Juchitán, Oaxaca","CDMX"
"Zoológico Los Coyotes","Ciudadano","Av. Heroica Escuela Naval Militar S/N, Coyoacán, Ex Ejido San Pablo Tepetlapa, 04900 Ciudad de México, CDMX","","A partir del domingo","","","CDMX"
"Delegación Benito Juárez","Gobierno","Avenida Cuauhtémoc 1240, Sta Cruz Atoyac, 03310 Ciudad de México, CDMX","10:00 - 18:00","","No perecederos, Toallas femeninas, Higiene Personal, Otros","","CDMX"
"Casa de Atención Ciudadana Laura Plascencia","Ciudadano","Nicolás Bravo 31, Tonalá Centro, 45400 Tonalá, Jal","","","Alimentos y agua, Higiene personal, Limpieza del hogar, Otros","","Jalisco"
"Arquidiocesis Antequera Oaxaca","Religioso","Calle Macedonio Alcalá 801, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca, Oax.
","10:00 - 14:00, 17:00 - 19:00","","Alimentos y agua, Higiene personal, Limpieza del hogar","","Oaxaca"
"DIF Estatal - Gimnasio Flores Magón","Gobierno","Centro, 68000 Oaxaca","","","Alimentos y agua, Higiene personal, Limpieza del hogar","","Oaxaca"
"Cruz Roja Tuxtla","Cruz Roja","Av. 5A. Norte Poniente 1480, Covandonga, Tuxtla Gutiérrez, Chis., Mexico","9:00 - 19:00","","Alimentos y agua, Higiene personal, Limpieza del hogar, Otros","Chiapas","Chiapas"
"Cruz Roja Mexicana Delegación Chiapas","Cruz Roja","Libramiento Nte. Ote. 451, Albania Baja, 29010 Tuxtla Gutiérrez, Chis.","9:00 - 19:00","","Alimentos y agua, Higiene personal, Limpieza del hogar, Otros","Chiapas","Chiapas"
"La Purísima Cocina Oaxaqueña","Ciudadano","Calle 25 Sur B 905, La Paz, 72160 Puebla, Pue.","","","Alimentos y agua, Higiene personal, Limpieza del hogar, Cobijas","Istmo","Puebla"
"Zócalo de la Ciudad de Puebla","Gobierno","Juan de Palafox y Mendoza, Centro, 72000 Puebla, Pue.","10:00 - 16:00","","","","Puebla"
"UPAEP","Académico","Calle 21 Sur 1103, Barrio de Santiago, 72410 Puebla, Pue.","L a S 9:00 - 20:00, D 10:00 - 14:00","Lunes a domingo","Alimentos y agua, Higiene personal, Limpieza del hogar, Cobijas","Oaxaca","Puebla"
"DIF Metepec","Gobierno","Av Manuel J. Clouthier No.70, Izcalli Cuauhtemoc V, 52176 Metepec, Méx.","8:00 - 16:00","Lunes a viernes","No perecederos, Higiene Personal, Agua embotellada","Oaxaca, Chiapas","EdoMex"
"Explanada Norte, Estadio BBVA Bancomer","Ciudadano","Pablo Livas 2011, La Pastora, 67140 Guadalupe, N.L.","","A partir de las 17:00 del sábado 9 de septiembre","Alimentos y agua, Higiene personal, Limpieza del hogar, Primeros auxilios, Medicamentos, Alimentos para bebé, Abrelatas, Bolsas de basura, Linternas y baterías","Oaxaca, Chiapas","NL"
"Universidad de Guadalajara en Coordinación de Extensión o en Servicios Médicos Integrales ","Académico","Periférico Norte N° 799, Núcleo Universitario Los Belenes, 45100 Zapopan, Jal.","","","Alimentos y agua, Higiene personal, Limpieza del hogar, Cobijas, Ropa","Oaxaca, Chiapas","Jalisco"
"Presidencia Municipal Zapopan","Gobierno","Avenida Hidalgo 151, Zapopan, 45100 Zapopan, Jal.","9:00 - 16:00","","Alimentos y agua, Higiene personal, Limpieza del hogar, Cobijas","Oaxaca, Chiapas","Jalisco"
"DIF Zapopan","Gobierno","Av. Laureles 1151, Unidad Fovissste, 45149 Zapopan, Jal.","9:00 - 15:00","","Alimentos y agua, Higiene personal, Limpieza del hogar, Cobijas","Oaxaca, Chiapas","Jalisco"
"DIF Playa del Carmen - Palapa de Usos Múltiples","Gobierno","Calle 8 Nte, Gonzalo Guerrero, 77720 Playa del Carmen, Q.R.","9:00 - 17:00","Lunes a domingo","Alimentos y agua, Higiene personal, Limpieza del hogar, Cobijas, Ropa y zapatos","Oaxaca, Chiapas","Quintana Roo"
