"dependencia","conjuntos","recursos","fecha"
"sedesol","107","517",2015-08-06
"sedesol","103","449",2015-08-03
"sedesol","103","449",2015-08-03
"sedesol","103","449",2015-07-10
"sedesol","87","358",2015-05-22
"sedesol","87","358",2015-05-21
"sedesol","84","293",2015-05-19
"sedesol","77","271",2015-04-20
"sedesol","74","261",2015-03-06
"sedesol","75","261",2015-03-03
"sedesol","75","261",2015-02-28
"sedesol","27","104",2015-01-19
"sedesol","26","103",2014-12-22
"sedesol","25","94",2014-10-14
"sedesol","25","94",2014-10-13
"sedesol","24","91",2014-10-01
"sedesol","5","4472",2014-09-22
"sedesol","5","4472",2014-07-21
"sedesol","5","4472",2014-07-04
"sedesol","5","4472",2014-06-28
"inegi","69","1493",2015-08-11
"inegi","69","1492",2015-08-07
"inegi","68","1464",2015-07-07
"inegi","68","1464",2015-06-26
"inegi","68","1464",2015-05-25
"inegi","2","110",2015-04-17
"inegi","1","64",2015-04-14
"inegi","1","64",2015-02-27
"inegi","1","64",2015-02-24
"pemex","64","121",2015-08-11
"pemex","64","121",2015-08-11
"pemex","64","121",2015-08-10
"pemex","64","121",2015-06-23
"pemex","64","121",2015-06-23
"pemex","62","117",2014-12-17
"pemex","59","111",2014-12-16
"pemex","59","111",2014-12-16
"pemex","58","109",2014-12-03
"pemex","57","107",2014-12-03
"pemex","107","107",2014-12-03
"pemex","57","57",2014-09-26
"pemex","51","51",2014-07-04
"pemex","51","51",2014-07-03
"pemex","51","0",2014-06-27
"pemex","51","0",2014-06-26
"pemex","5","0",2014-06-25
"pemex","5","0",2014-06-25
"pemex","5","0",2014-06-25
"sagarpa","34","106",2015-07-20
"sagarpa","32","101",2015-07-06
"sagarpa","30","92",2015-04-14
"sagarpa","30","90",2015-03-12
"sagarpa","28","83",2015-02-16
"sagarpa","28","80",2015-02-13
"sagarpa","28","79",2015-02-11
"sagarpa","29","86",2015-01-23
"sagarpa","28","84",2015-01-22
"sagarpa","28","83",2014-12-13
"sagarpa","28","83",2014-12-04
"sagarpa","28","82",2014-11-27
"sagarpa","28","82",2014-11-24
"sagarpa","27","80",2014-11-13
"sagarpa","27","78",2014-11-13
"sagarpa","26","85",2014-10-28
"sagarpa","25","85",2014-10-28
"sagarpa","25","75",2014-10-22
"sagarpa","19","62",2014-09-30
"sagarpa","19","61",2014-09-03
"sagarpa","18","60",2014-08-27
"sagarpa","15","50",2014-07-08
"sagarpa","16","56",2014-07-03
"sagarpa","15","53",2014-06-24
"sagarpa","15","50",2014-06-16
"sagarpa","11","48",2014-06-13
"sagarpa","11","42",2014-06-13
"sagarpa","11","42",2014-06-13
"sagarpa","11","42",2014-06-13
"estado-de-puebla","12","12",2015-01-26
"estado-de-puebla","12","12",2015-01-23
"estado-de-puebla","12","12",2015-01-23
"estado-de-puebla","12","12",2015-01-23
"estado-de-puebla","12","12",2015-01-23
"estado-de-puebla","12","0",2015-01-23
"sep","6","54",2015-08-11
"sep","11","70",2015-08-07
"sep","11","70",2015-08-03
"sep","11","70",2015-08-03
"sep","6","54",2015-03-26
"sep","6","54",2015-03-24
"sep","2","50",2015-01-22
"sep","2","50",2015-01-16
"sep","1","36",2014-07-04
"sep","1","36",2014-07-04
"ayuntamiento-de-xalapa","11","49",2015-07-28
"ayuntamiento-de-xalapa","11","41",2015-07-28
"ayuntamiento-de-xalapa","11","41",2015-07-27
"ayuntamiento-de-xalapa","10","29",2015-06-11
"ayuntamiento-de-xalapa","9","28",2015-05-20
"ayuntamiento-de-xalapa","10","100",2015-05-19
"ayuntamiento-de-xalapa","9","99",2015-04-07
"ayuntamiento-de-xalapa","9","99",2015-03-10
"ayuntamiento-de-xalapa","9","100",2015-02-21
"ayuntamiento-de-xalapa","7","98",2014-12-23
"ayuntamiento-de-xalapa","7","98",2014-10-09
"ayuntamiento-de-xalapa","7","98",2014-10-08
"ayuntamiento-de-xalapa","7","97",2014-10-08
"ayuntamiento-de-xalapa","7","91",2014-10-08
"ayuntamiento-de-xalapa","7","91",2014-10-08
"ayuntamiento-de-xalapa","7","89",2014-10-08
"ayuntamiento-de-xalapa","7","90",2014-10-07
"ayuntamiento-de-xalapa","7","90",2014-10-07
"sener","8","88",2015-07-21
"sener","1","1",2015-07-20
"sener","7","87",2014-12-29
"sener","7","87",2014-12-23
"sct","6","42",2015-06-23
"sct","6","40",2014-08-28
"sct","6","40",2014-08-13
"sct","6","40",2014-08-12
"sct","7","39",2014-07-28
"sct","7","39",2014-07-18
"sct","7","39",2014-07-05
"sct","7","39",2014-07-04
"sct","11","36",2014-06-25
"sct","9","24",2014-06-21
"sct","1","4",2014-06-09
"sct","1","0",2014-06-08
"sct","1","1",2014-06-07
"sct","1","1",2014-06-07
"sct","1","1",2014-06-07
"sct","1","1",2014-06-06
"ran","4","128",2015-07-24
"ran","6","192",2015-03-31
"ran","6","192",2015-03-30
"ran","7","193",2015-02-20
"ran","6","192",2015-01-28
"ran","6","6",2015-01-12
"ayuntamiento-de-san-luis-potosi","3","6",2015-07-22
"ayuntamiento-de-san-luis-potosi","6","0",2015-07-08
"ayuntamiento-de-san-luis-potosi","2","4",2014-12-10
"ayuntamiento-de-san-luis-potosi","2","4",2014-11-27
"se","5","16",2015-07-07
"se","5","16",2015-07-03
"se","5","19",2015-07-02
"se","5","19",2015-07-01
"se","5","19",2015-07-01
"se","5","19",2015-06-30
"se","5","19",2015-06-30
"se","1","1",2014-09-23
"salud","5","43",2015-08-10
"salud","4","23",2015-06-16
"salud","4","16",2015-03-04
"salud","4","16",2015-02-04
"salud","3","10",2014-08-15
"salud","2","3",2014-07-04
"salud","3","0",2014-06-25
"cdi","5","5",2015-03-03
"servicio-geologico-mexicano","4","15",2015-07-30
"servicio-geologico-mexicano","4","15",2015-07-14
"servicio-geologico-mexicano","4","15",2015-07-14
"servicio-geologico-mexicano","4","15",2015-07-14
"servicio-geologico-mexicano","2","13",2015-04-17
"servicio-geologico-mexicano","2","13",2015-04-16
"servicio-geologico-mexicano","2","13",2015-04-16
"servicio-geologico-mexicano","2","13",2015-04-16
"servicio-geologico-mexicano","2","13",2015-01-09
"servicio-geologico-mexicano","2","13",2015-01-09
"servicio-geologico-mexicano","2","13",2015-01-09
"servicio-geologico-mexicano","2","13",2015-01-09
"servicio-geologico-mexicano","2","13",2015-01-09
"servicio-geologico-mexicano","2","13",2015-01-09
"servicio-geologico-mexicano","1","7",2015-01-09
"servicio-geologico-mexicano","1","6",2014-11-27
"servicio-geologico-mexicano","1","6",2014-11-27
"servicio-geologico-mexicano","1","6",2014-11-26
"imss","5","159",2015-06-19
"imss","5","158",2015-06-15
"imss","4","158",2015-06-08
"imss","4","158",2015-06-05
"imss","4","105",2015-04-17
"imss","4","102",2015-03-20
"imss","4","84",2015-02-09
"imss","4","84",2015-02-05
"imss","4","84",2015-02-04
"imss","4","53",2014-10-30
"imss","4","43",2014-08-20
"imss","4","37",2014-08-19
"imss","4","37",2014-08-18
"imss","4","35",2014-08-13
"imss","4","35",2014-08-13
"imss","4","35",2014-08-12
"imss","4","35",2014-08-12
"imss","4","35",2014-08-12
"fondo-de-cultura-economica","3","3",2015-07-31
"fondo-de-cultura-economica","3","3",2015-07-06
"fonacot","2","2",2015-07-18
"fonacot","2","2",2015-05-29
"ayuntamiento-de-san-pedro-garza-garcia","2","14",2014-12-23
"ayuntamiento-de-san-pedro-garza-garcia","2","14",2014-12-23
"conapo","3","13",2015-08-05
"conapo","3","13",2015-07-23
"conapo","3","12",2015-07-23
"conapo","2","11",2015-06-11
"conapo","2","10",2015-05-13
"conapo","2","10",2015-05-13
"conapo","1","9",2014-10-23
"conapo","1","4",2014-10-21
"conapo","1","4",2014-07-18
"conapo","1","4",2014-06-24
"conapo","1","4",2014-06-24
"presidencia","19","826",2014-09-03
"presidencia","1","1",2014-06-06
"iepsa","3","10",2015-06-30
"iepsa","3","9",2015-06-29
"iepsa","1","1",2015-06-25
"iepsa","1","0",2015-06-25
"sedatu","2","9",2015-08-05
"sectur","7","8",2015-07-29
"sectur","7","8",2015-07-21
"sectur","7","8",2015-07-21
"sectur","1","1",2015-07-09
"sectur","1","1",2015-06-18
"sectur","1","1",2015-06-18
"sectur","1","1",2015-06-18
"sectur","1","1",2015-06-18
"sectur","1","1",2015-06-18
"sectur","1","1",2015-06-15
"sectur","1","1",2015-04-24
"sectur","1","0",2015-04-24
"sectur","1","1",2015-04-07
"sectur","1","1",2014-11-11
"sectur","1","1",2014-11-11
"sectur","1","1",2014-11-11
"sectur","1","1",2014-11-03
"ayuntamiento-de-zapopan","8","21",2015-06-18
"ayuntamiento-de-zapopan","3","12",2015-06-18
"ayuntamiento-de-zapopan","1","4",2015-06-10
"ayuntamiento-de-zapopan","4","0",2015-06-10
"nafin","1","6",2015-08-10
"nafin","1","6",2015-07-08
"nafin","1","6",2015-06-09
"nafin","1","6",2015-05-12
"nafin","1","6",2015-04-16
"nafin","1","6",2015-03-11
"nafin","1","6",2015-02-23
"nafin","1","6",2015-01-22
"nafin","1","5",2014-12-18
"nafin","1","5",2014-11-21
"nafin","1","5",2014-10-24
"nafin","1","5",2014-10-17
"nafin","1","5",2014-09-25
"nafin","1","5",2014-08-29
"nafin","1","5",2014-08-25
"nafin","1","5",2014-08-19
"nafin","1","5",2014-07-15
"nafin","1","5",2014-07-10
"nafin","1","5",2014-06-30
"nafin","1","5",2014-06-11
"nafin","1","5",2014-06-09
"nafin","1","5",2014-06-06
"inmujeres","2","14",2015-07-27
"imt","1","1",2015-06-17
"estado-de-morelos","2","3",2015-02-27
"estado-de-morelos","2","3",2015-02-22
"estado-de-morelos","2","3",2015-02-20
"stps","2","14",2015-07-30
"stps","2","14",2015-07-30
"stps","2","14",2015-07-29
"cenapred","6","6",2015-06-11
"tu-gobierno-en-mapas","20","845",2014-12-12
"tu-gobierno-en-mapas","20","845",2014-11-20
"tu-gobierno-en-mapas","20","845",2014-11-20
"tu-gobierno-en-mapas","20","845",2014-11-20
"tu-gobierno-en-mapas","20","845",2014-11-19
"tu-gobierno-en-mapas","20","20",2014-11-18
"tu-gobierno-en-mapas","1","1",2014-11-18
"semarnat","3","6",2015-07-14
"shcp","7","45",2015-05-27
"shcp","7","45",2015-04-27
"shcp","6","45",2015-04-20
"shcp","5","34",2015-01-29
"shcp","4","24",2014-11-26
"pgr","1","3",2015-07-23
"pgr","1","3",2015-07-23
"pgr","1","3",2015-07-23
"pgr","1","3",2014-09-26
"pgr","1","1",2014-09-25
"coneval","18","46",2015-07-23
"coneval","18","46",2015-07-23
"coneval","18","45",2015-07-15
"coneval","10","37",2015-06-01
"coneval","10","37",2015-05-12
"coneval","10","37",2015-05-12
"coneval","9","35",2014-07-28
"coneval","9","35",2014-07-11
"coneval","9","35",2014-06-19
"promexico","3","3",2014-08-22
"promexico","3","3",2014-08-12
"cfe","7","7",2015-08-05
"cfe","9","9",2015-07-27
"cfe","9","9",2015-07-24
"cfe","10","10",2015-07-16
"cfe","10","10",2015-07-16
"cfe","10","10",2015-07-16
"cfe","10","10",2015-04-13
"cfe","10","10",2015-04-13
"cfe","10","10",2015-02-20
"cfe","10","10",2014-11-13
"cfe","10","10",2014-10-16
"cfe","10","10",2014-09-08
"cfe","10","10",2014-09-04
"cfe","10","10",2014-08-20
"cfe","13","13",2014-08-12
"conagua","7","19",2014-06-25
"conagua","2","3",2014-06-25
"ift","1","3",2015-07-03
